network_packet_size,login_attempts,session_duration,ip_reputation_score,failed_logins,unusual_time_access,attack_detected,protocol_type_ICMP,protocol_type_TCP,protocol_type_UDP,encryption_used_AES,encryption_used_DES,encryption_used_None,browser_type_Chrome,browser_type_Edge,browser_type_Firefox,browser_type_Safari,browser_type_Unknown
571,5,1101.401768,0.481822214,2,1,0,0,1,0,0,1,0,1,0,0,0,0
795,6,1614.18861,0.179652028,2,0,1,0,1,0,1,0,0,1,0,0,0,0
396,6,1679.852697,0.610744011,0,0,1,0,1,0,0,0,1,1,0,0,0,0
338,2,431.3095535,0.32548557,1,0,0,0,0,1,1,0,0,0,1,0,0,0
399,3,546.9722169,0.59543355,0,0,0,0,1,0,0,0,1,1,0,0,0,0
683,5,312.3613276,0.341571913,3,0,1,0,1,0,1,0,0,0,0,1,0,0
565,8,127.5196421,0.198150388,2,1,1,0,1,0,1,0,0,1,0,0,0,0
394,4,190.7796533,0.384014995,1,0,1,0,0,1,1,0,0,1,0,0,0,0
602,4,115.8219298,0.282699535,1,1,1,0,1,0,1,0,0,1,0,0,0,0
519,3,418.7535921,0.507471856,2,1,0,0,1,0,1,0,0,0,0,1,0,0
693,4,149.3968243,0.746532992,2,0,1,0,1,0,0,1,0,0,1,0,0,0
359,4,413.2077482,0.39613548,3,0,1,0,1,0,1,0,0,1,0,0,0,0
434,7,1524.06328,0.265375088,0,0,1,0,0,1,0,1,0,0,0,1,0,0
421,7,850.2462962,0.736307167,3,0,1,0,1,0,0,1,0,0,0,0,1,0
207,4,869.5488497,0.180195229,3,0,1,0,0,1,1,0,0,0,0,1,0,0
559,3,1336.480972,0.280459505,1,0,0,0,1,0,1,0,0,0,0,0,1,0
552,2,33.65280381,0.311972498,0,0,0,0,1,0,1,0,0,0,0,1,0,0
501,3,1265.88981,0.359586098,2,0,0,0,0,1,1,0,0,0,0,1,0,0
453,5,174.8719898,0.439698956,2,0,0,0,1,0,1,0,0,0,0,1,0,0
216,6,339.6289337,0.792908724,0,0,1,0,1,0,1,0,0,0,1,0,0,0
415,2,294.5849672,0.204681271,3,0,1,0,1,0,1,0,0,1,0,0,0,0
431,2,89.33142788,0.021302683,2,0,0,0,1,0,1,0,0,0,0,1,0,0
339,3,152.6475055,0.408680982,2,0,0,0,1,0,0,1,0,0,0,1,0,0
467,1,2505.190225,0.20998862,2,0,0,1,0,0,1,0,0,1,0,0,0,0
580,3,733.5772845,0.24224525,2,0,0,1,0,0,0,1,0,1,0,0,0,0
877,4,513.9203055,0.181515664,0,0,1,0,1,0,0,0,1,0,1,0,0,0
534,4,1134.375925,0.635654906,2,0,1,0,1,0,0,0,1,1,0,0,0,0
551,5,1344.486704,0.215335639,0,0,0,0,1,0,0,1,0,0,0,1,0,0
485,6,93.46336108,0.406331228,2,0,0,0,1,0,0,1,0,1,0,0,0,0
116,4,1080.449674,0.46236871,0,0,0,0,1,0,1,0,0,0,1,0,0,0
494,6,2155.276873,0.408226133,1,0,0,0,1,0,1,0,0,0,0,1,0,0
512,6,704.4224885,0.221273259,1,1,0,0,1,0,0,1,0,1,0,0,0,0
992,2,761.8596818,0.042538989,1,0,0,0,1,0,0,1,0,0,0,1,0,0
461,3,1634.686998,0.090224415,1,0,1,0,1,0,0,1,0,0,1,0,0,0
560,5,910.2548698,0.29384813,2,0,0,0,1,0,0,1,0,1,0,0,0,0
493,1,4282.643311,0.427157044,1,0,0,0,0,1,0,1,0,0,0,0,0,1
266,5,265.801795,0.310699613,2,1,1,0,1,0,0,0,1,0,0,0,1,0
728,9,1493.948385,0.344070749,0,0,1,0,1,0,0,1,0,1,0,0,0,0
650,9,758.2441511,0.397054059,1,1,1,0,1,0,0,0,1,1,0,0,0,0
658,3,364.2314265,0.422818254,1,0,0,0,1,0,0,1,0,1,0,0,0,0
318,2,1716.873183,0.173547597,1,0,0,0,1,0,0,1,0,0,1,0,0,0
780,5,4468.001253,0.513376979,1,0,0,0,1,0,0,0,1,1,0,0,0,0
219,4,47.67208919,0.083924523,3,1,1,1,0,0,0,1,0,0,0,1,0,0
617,5,2077.809327,0.756641279,1,0,1,0,1,0,1,0,0,0,0,1,0,0
938,5,181.6319084,0.328952529,2,0,0,0,1,0,1,0,0,0,0,1,0,0
301,6,183.7197583,0.263931384,2,0,0,0,1,0,1,0,0,0,0,1,0,0
386,1,34.12234568,0.292313203,1,1,0,1,0,0,0,0,1,1,0,0,0,0
519,8,2042.764959,0.233775326,3,0,1,0,0,1,1,0,0,1,0,0,0,0
399,6,1139.68906,0.717362731,1,0,1,0,0,1,1,0,0,1,0,0,0,0
189,1,43.94449987,0.324800802,2,0,0,0,1,0,1,0,0,1,0,0,0,0
513,3,803.0822653,0.145353831,0,1,0,1,0,0,1,0,0,1,0,0,0,0
287,6,102.3889242,0.063838808,1,0,1,0,1,0,0,0,1,1,0,0,0,0
594,9,1113.544883,0.201536376,1,0,1,0,1,0,1,0,0,0,0,1,0,0
316,3,420.8242964,0.101049712,0,0,1,0,0,1,0,1,0,1,0,0,0,0
809,4,42.53231749,0.18402175,1,0,1,0,0,1,1,0,0,0,0,0,0,1
343,5,1414.781847,0.109978895,3,1,1,0,1,0,1,0,0,0,1,0,0,0
435,4,679.6785161,0.251661491,3,0,1,0,1,0,1,0,0,0,0,0,1,0
662,1,1185.779775,0.506076781,2,0,0,0,1,0,1,0,0,1,0,0,0,0
253,1,897.9900819,0.238038682,4,0,1,0,1,0,0,1,0,0,0,0,0,1
545,4,455.8891209,0.262453772,3,0,1,0,1,0,1,0,0,0,0,0,0,1
761,1,959.6300159,0.177541302,2,0,0,1,0,0,1,0,0,1,0,0,0,0
178,3,11.89070051,0.286340689,1,1,0,0,1,0,1,0,0,0,1,0,0,0
536,3,332.0943081,0.703334184,0,0,1,0,0,1,0,1,0,0,0,1,0,0
551,3,1203.534189,0.117891497,2,0,0,0,0,1,0,1,0,1,0,0,0,0
656,5,1151.965106,0.345206646,1,0,0,0,1,0,1,0,0,1,0,0,0,0
252,4,1747.197406,0.306495936,0,0,1,0,0,1,1,0,0,0,0,1,0,0
235,3,755.4343689,0.250965986,3,0,1,0,1,0,1,0,0,1,0,0,0,0
604,3,2280.568942,0.803907588,0,0,1,0,1,0,0,0,1,1,0,0,0,0
559,3,652.635594,0.132526685,2,0,0,0,1,0,1,0,0,1,0,0,0,0
550,1,555.2444852,0.365041798,2,0,0,0,1,0,0,0,1,1,0,0,0,0
569,7,175.7362809,0.516714172,1,1,1,0,0,1,0,0,1,1,0,0,0,0
363,6,1207.082133,0.351040042,2,0,0,1,0,0,1,0,0,1,0,0,0,0
546,5,942.2728648,0.34365596,1,0,0,0,1,0,1,0,0,1,0,0,0,0
558,9,494.0766463,0.314431634,2,0,1,0,0,1,0,1,0,0,0,0,1,0
357,9,72.91081298,0.199537317,2,0,1,0,1,0,0,1,0,0,1,0,0,0
873,3,107.4675487,0.051226281,2,0,0,0,0,1,0,1,0,1,0,0,0,0
594,3,97.24720088,0.407685946,4,0,1,0,1,0,1,0,0,1,0,0,0,0
261,10,376.7703858,0.2406993,1,0,1,0,1,0,0,0,1,0,0,0,1,0
631,6,138.5095628,0.100603633,1,0,0,0,1,0,1,0,0,1,0,0,0,0
305,6,1577.716811,0.34691659,1,0,0,0,1,0,1,0,0,0,1,0,0,0
657,6,1836.854066,0.147279397,3,0,1,0,1,0,0,0,1,1,0,0,0,0
731,5,1554.637615,0.254922628,2,0,1,0,0,1,0,1,0,0,0,1,0,0
335,3,750.9414291,0.123096785,3,0,1,0,1,0,0,1,0,1,0,0,0,0
692,7,725.7763899,0.52319762,2,0,1,0,0,1,0,0,1,1,0,0,0,0
582,5,1772.568948,0.232832331,1,0,0,0,0,1,1,0,0,1,0,0,0,0
664,8,417.1159066,0.371064229,2,0,1,0,1,0,1,0,0,0,1,0,0,0
879,5,51.49798032,0.101001663,0,0,1,0,1,0,0,0,1,0,0,1,0,0
450,1,508.4962829,0.257770486,2,0,0,0,0,1,1,0,0,1,0,0,0,0
349,8,645.4298805,0.242800051,1,0,1,0,1,0,1,0,0,1,0,0,0,0
322,1,637.8327849,0.199911269,1,0,0,0,1,0,1,0,0,1,0,0,0,0
336,2,138.5347758,0.117115577,2,0,1,0,1,0,0,0,1,1,0,0,0,0
484,5,1223.810273,0.395754209,1,1,1,0,1,0,1,0,0,1,0,0,0,0
568,5,1053.315867,0.189134671,2,0,1,1,0,0,0,1,0,0,1,0,0,0
555,5,208.9390298,0.551708413,1,0,0,0,1,0,1,0,0,1,0,0,0,0
665,6,640.9945335,0.500371339,3,0,1,0,1,0,0,1,0,0,0,1,0,0
502,12,1249.769495,0.29821402,1,0,1,0,1,0,0,1,0,0,0,1,0,0
790,4,6.171441467,0.196972633,2,0,1,0,0,1,0,1,0,0,0,1,0,0
447,3,257.4377388,0.067681543,0,1,0,0,0,1,1,0,0,0,0,1,0,0
1044,4,510.9845737,0.500439394,2,0,0,0,1,0,1,0,0,0,1,0,0,0
625,1,1491.627244,0.229239608,3,0,1,0,1,0,1,0,0,1,0,0,0,0
328,4,1283.430038,0.279087731,2,0,0,0,1,0,0,0,1,1,0,0,0,0
285,7,130.9498296,0.25465667,2,1,1,0,1,0,0,1,0,1,0,0,0,0
596,2,497.0213241,0.117917916,2,0,0,0,1,0,1,0,0,1,0,0,0,0
455,2,290.6566795,0.404946429,2,0,0,1,0,0,0,0,1,0,0,1,0,0
642,1,410.5743325,0.25351395,2,0,0,0,1,0,0,0,1,1,0,0,0,0
594,4,622.3103995,0.811027788,2,0,1,0,1,0,1,0,0,1,0,0,0,0
485,4,553.4633423,0.091498377,2,0,0,0,0,1,0,1,0,1,0,0,0,0
330,2,122.1244353,0.550907729,0,0,0,0,1,0,1,0,0,0,1,0,0,0
197,7,103.8028281,0.444103087,2,0,1,0,1,0,1,0,0,0,1,0,0,0
410,5,111.6569627,0.391004361,1,0,0,0,1,0,1,0,0,0,1,0,0,0
671,4,1472.532658,0.109354345,3,0,1,0,1,0,0,1,0,0,0,0,0,1
542,5,16.10939608,0.310733074,1,1,0,0,0,1,1,0,0,0,0,1,0,0
250,4,180.9230958,0.175276251,1,0,0,0,1,0,1,0,0,1,0,0,0,0
534,7,2496.887261,0.245132296,1,0,1,0,1,0,0,1,0,1,0,0,0,0
577,5,54.64134539,0.299448435,1,0,0,0,1,0,0,0,1,0,1,0,0,0
323,5,29.59799365,0.277632762,1,0,0,0,0,1,0,1,0,1,0,0,0,0
530,5,391.9421775,0.301605386,2,0,0,0,1,0,0,1,0,0,0,1,0,0
511,2,131.1458838,0.13891479,2,0,0,0,1,0,1,0,0,1,0,0,0,0
271,3,667.3328622,0.08636302,3,0,1,1,0,0,0,1,0,1,0,0,0,0
571,5,330.6941724,0.098960584,0,0,0,0,1,0,0,1,0,0,0,1,0,0
612,3,187.5349142,0.534195673,2,0,0,0,0,1,0,1,0,0,0,0,1,0
716,3,5258.007877,0.080676186,2,0,0,0,1,0,0,0,1,1,0,0,0,0
710,2,333.7518061,0.371247348,3,0,1,0,1,0,0,1,0,0,0,1,0,0
224,5,819.5606828,0.26348398,2,0,0,0,1,0,0,1,0,0,1,0,0,0
312,4,1657.896733,0.23637224,1,0,0,0,1,0,1,0,0,1,0,0,0,0
603,8,2044.817851,0.651433788,3,0,1,0,1,0,1,0,0,1,0,0,0,0
602,7,422.2788269,0.21509486,3,0,1,0,1,0,1,0,0,0,1,0,0,0
603,1,2988.986788,0.276089652,2,0,0,0,1,0,0,1,0,1,0,0,0,0
1270,5,1031.523815,0.774615759,1,0,1,0,1,0,0,1,0,1,0,0,0,0
614,7,700.26444,0.148814945,3,0,1,0,1,0,1,0,0,1,0,0,0,0
727,2,945.4542593,0.651828634,1,0,1,1,0,0,1,0,0,1,0,0,0,0
690,8,357.2019171,0.212842269,1,0,1,0,1,0,0,0,1,1,0,0,0,0
630,3,441.8813258,0.33794037,2,0,0,1,0,0,1,0,0,0,1,0,0,0
436,2,706.0315238,0.359457451,0,0,0,0,1,0,1,0,0,1,0,0,0,0
651,7,316.6108122,0.273088318,2,0,1,0,1,0,1,0,0,1,0,0,0,0
345,3,1171.618343,0.382091434,1,1,1,0,1,0,0,0,1,0,0,0,0,1
452,4,231.3057527,0.17588986,3,0,1,0,0,1,1,0,0,0,0,0,1,0
402,6,1274.873343,0.418685906,1,0,1,0,0,1,1,0,0,1,0,0,0,0
516,7,132.0481602,0.256915858,2,1,1,0,1,0,0,1,0,1,0,0,0,0
962,3,196.0975201,0.566783447,1,1,0,0,0,1,1,0,0,1,0,0,0,0
126,2,1118.997808,0.251305311,1,0,1,0,1,0,1,0,0,1,0,0,0,0
637,7,244.2875861,0.123828366,1,0,1,0,1,0,0,0,1,1,0,0,0,0
177,3,1269.336265,0.112941757,1,0,0,1,0,0,0,0,1,0,0,1,0,0
405,5,1225.500148,0.730273906,0,0,1,0,0,1,1,0,0,1,0,0,0,0
717,3,237.9718023,0.614620605,2,0,1,1,0,0,1,0,0,0,0,0,0,1
512,2,60.71129062,0.427602943,3,1,1,0,1,0,1,0,0,1,0,0,0,0
284,5,145.5634574,0.472629242,1,0,0,0,1,0,1,0,0,0,0,1,0,0
356,5,1117.162157,0.241214336,1,0,0,0,1,0,1,0,0,1,0,0,0,0
635,10,1501.823589,0.072490082,3,0,1,0,1,0,1,0,0,0,0,1,0,0
353,5,386.3809841,0.427222496,0,0,0,0,0,1,1,0,0,1,0,0,0,0
543,4,143.510768,0.164087378,0,0,0,0,1,0,0,0,1,0,1,0,0,0
509,5,62.77560611,0.663391629,2,0,1,0,1,0,1,0,0,1,0,0,0,0
369,4,194.4892995,0.441784013,1,0,0,0,1,0,0,1,0,1,0,0,0,0
928,5,3117.111124,0.21923788,2,0,0,0,1,0,1,0,0,1,0,0,0,0
626,6,149.3268544,0.487592557,1,0,1,0,1,0,0,1,0,1,0,0,0,0
94,3,72.08595471,0.167300344,2,0,0,0,1,0,1,0,0,1,0,0,0,0
537,4,1231.45769,0.317502069,0,0,0,0,0,1,1,0,0,1,0,0,0,0
367,6,764.4650684,0.552296105,1,0,0,0,1,0,0,0,1,1,0,0,0,0
670,4,612.2670042,0.632472946,2,0,1,0,0,1,0,1,0,1,0,0,0,0
341,4,475.1521219,0.114246418,1,0,1,0,1,0,0,1,0,1,0,0,0,0
477,5,968.1034736,0.1763342,0,0,0,0,1,0,0,0,1,1,0,0,0,0
600,3,958.8035428,0.317945614,1,0,0,0,1,0,0,0,1,0,1,0,0,0
673,5,441.9098512,0.245764911,3,0,1,0,0,1,1,0,0,1,0,0,0,0
259,3,213.496481,0.592040118,3,0,1,0,1,0,1,0,0,0,0,1,0,0
433,3,1472.407526,0.463348176,3,1,1,0,1,0,0,1,0,0,1,0,0,0
405,10,143.8970594,0.571196954,1,0,1,0,1,0,1,0,0,1,0,0,0,0
369,3,610.8665546,0.307482394,2,0,0,0,1,0,1,0,0,0,0,1,0,0
853,4,943.8772652,0.397246425,3,0,1,0,0,1,1,0,0,0,0,1,0,0
580,2,814.8292492,0.125007081,2,0,0,0,0,1,0,0,1,1,0,0,0,0
247,5,771.5329877,0.12758305,2,0,1,0,1,0,0,1,0,1,0,0,0,0
683,3,868.9664999,0.295363963,0,0,0,0,1,0,0,0,1,1,0,0,0,0
924,6,1667.755718,0.288450033,2,0,0,0,0,1,1,0,0,1,0,0,0,0
706,4,363.7989546,0.248932846,2,1,0,0,1,0,1,0,0,0,0,1,0,0
196,3,789.878243,0.264014198,1,0,0,0,1,0,1,0,0,1,0,0,0,0
403,3,955.1300121,0.272788497,1,0,0,0,1,0,0,0,1,1,0,0,0,0
753,2,713.9159269,0.556800575,2,0,0,0,1,0,1,0,0,0,1,0,0,0
358,2,1866.457232,0.447738083,1,1,0,0,1,0,0,1,0,0,0,0,1,0
588,2,850.8558379,0.207947551,4,0,1,0,0,1,0,1,0,1,0,0,0,0
654,6,441.9142581,0.099173481,0,0,0,0,1,0,0,1,0,0,1,0,0,0
314,6,1494.500082,0.080557135,3,0,1,0,1,0,0,1,0,0,0,0,1,0
488,5,537.9982787,0.296293923,0,0,0,0,0,1,1,0,0,1,0,0,0,0
64,4,604.2960287,0.245609205,1,0,1,0,1,0,1,0,0,1,0,0,0,0
295,4,698.354192,0.453387845,4,0,1,0,1,0,0,1,0,0,0,1,0,0
449,2,311.8128136,0.301447602,1,0,0,0,1,0,1,0,0,1,0,0,0,0
250,4,1025.662318,0.143158554,2,0,0,0,1,0,1,0,0,1,0,0,0,0
826,9,82.62453258,0.390141665,1,0,1,0,0,1,1,0,0,1,0,0,0,0
213,3,1625.125988,0.294838013,1,0,0,0,0,1,1,0,0,1,0,0,0,0
411,4,1123.689696,0.080983718,1,0,0,0,1,0,1,0,0,1,0,0,0,0
526,3,349.1087772,0.23875021,2,0,1,0,0,1,0,0,1,1,0,0,0,0
788,5,205.3531376,0.305117008,2,1,0,0,1,0,0,1,0,0,1,0,0,0
212,6,392.6850038,0.369986537,1,1,0,0,0,1,1,0,0,1,0,0,0,0
732,2,1308.020308,0.191904657,4,0,1,0,1,0,1,0,0,0,1,0,0,0
502,6,25.66391557,0.217315966,3,0,1,0,1,0,0,0,1,1,0,0,0,0
303,4,504.7755404,0.036139236,1,0,0,0,1,0,0,0,1,1,0,0,0,0
592,1,234.5419425,0.40821513,2,0,0,0,1,0,0,0,1,0,1,0,0,0
539,2,1663.242253,0.135376812,2,0,1,0,1,0,1,0,0,0,0,0,1,0
379,4,427.3321394,0.70826773,1,0,1,0,1,0,0,1,0,0,0,1,0,0
513,4,957.5933245,0.210372349,1,0,1,0,0,1,1,0,0,1,0,0,0,0
422,5,354.399623,0.039525545,1,0,1,0,1,0,1,0,0,0,0,0,1,0
522,7,320.0235285,0.719121519,1,0,1,1,0,0,1,0,0,0,0,1,0,0
632,6,315.4692575,0.381284963,2,0,0,0,1,0,1,0,0,0,0,1,0,0
817,7,906.996921,0.207692399,1,0,1,0,1,0,0,0,1,1,0,0,0,0
252,5,2664.760254,0.322920546,2,0,0,0,0,1,0,1,0,0,0,1,0,0
926,6,186.7013392,0.264824668,1,0,0,0,1,0,1,0,0,1,0,0,0,0
109,3,826.0377247,0.507041505,2,0,0,0,0,1,0,0,1,0,0,1,0,0
469,3,246.7808154,0.38523621,3,0,1,0,0,1,1,0,0,1,0,0,0,0
617,3,637.6515281,0.348054976,1,0,1,0,1,0,0,1,0,1,0,0,0,0
556,3,624.0084851,0.168913981,1,0,0,0,1,0,0,1,0,0,0,1,0,0
375,3,478.3365407,0.231506389,3,0,1,0,1,0,1,0,0,1,0,0,0,0
458,6,552.3513165,0.148239517,3,0,1,0,1,0,0,1,0,1,0,0,0,0
401,4,1697.753303,0.434880854,2,0,0,0,1,0,1,0,0,1,0,0,0,0
382,5,74.22269221,0.07826154,2,0,1,0,0,1,1,0,0,0,0,0,0,1
669,1,1418.899013,0.452811981,1,1,0,0,1,0,1,0,0,1,0,0,0,0
571,3,496.3834309,0.308044554,4,0,1,0,1,0,1,0,0,0,0,1,0,0
361,4,324.6849905,0.308993446,0,0,0,0,1,0,0,0,1,0,0,0,1,0
679,1,155.9811702,0.350909059,2,0,0,1,0,0,1,0,0,0,1,0,0,0
561,4,1349.083065,0.424437996,1,0,0,0,1,0,0,1,0,1,0,0,0,0
662,6,717.2732949,0.344299883,3,0,1,0,1,0,1,0,0,1,0,0,0,0
625,7,1042.668396,0.21516442,2,0,1,0,1,0,0,0,1,1,0,0,0,0
334,4,302.6262417,0.372264786,3,0,1,1,0,0,0,1,0,1,0,0,0,0
387,2,399.3275016,0.395613837,1,0,0,1,0,0,1,0,0,0,0,1,0,0
649,3,1959.419082,0.30656638,2,0,0,0,1,0,0,1,0,0,0,1,0,0
622,3,2599.102861,0.060365498,2,0,0,0,0,1,1,0,0,1,0,0,0,0
495,4,1077.173463,0.703207906,3,1,1,0,1,0,1,0,0,0,0,0,0,1
523,3,1107.200843,0.406877814,0,0,0,1,0,0,0,1,0,1,0,0,0,0
755,1,948.3833027,0.758852133,2,0,1,0,1,0,1,0,0,0,0,1,0,0
381,6,707.8529082,0.398148573,2,1,1,0,1,0,1,0,0,0,0,1,0,0
609,5,723.2493103,0.237840731,4,1,1,0,1,0,0,1,0,1,0,0,0,0
459,7,2655.020806,0.385317833,2,1,1,0,1,0,1,0,0,1,0,0,0,0
456,2,1111.957705,0.191032584,2,1,0,0,0,1,1,0,0,1,0,0,0,0
